Timestamp,Open,High,Low,Close,Vol,VolCcy,Rate
2018/1/11,13356.7,14284,12910.1,13288.5,5239.870675,71504739.43349155,1.77
2018/1/12,13288.1,14062.9,12767.9,13739.5,9267.2164,125826235.54325091,1.78
2018/1/13,13739.5,14800,13727,14187.2,10772.5044,152726059.9831462,1.78
2018/1/14,14187.2,14347.9,12504,13446.2,12718.20352,169795487.36984191,1.78
2018/1/15,13446.2,14198.3,13218.5,13546.8,10077.81057,137557047.53229478,1.78
2018/1/16,13546.8,13577.2,10000,10973.5,20165.76151,236984847.59707627,1.79
2018/1/17,10973.5,11460.1,9150,11000.2,20312.02916,209496962.03976083,1.79
2018/1/18,11000.4,11808.9,10500.5,11047.2,15779.01976,177213985.7233793,1.79
2018/1/19,11036.5,11800,10561,11440.3,9094.535638,102497146.87531537,1.79
2018/1/20,11440.3,12990,11440.3,12727.8,7278.896265,90877067.50785737,1.79
2018/1/21,12727.8,12735.6,11058.6,11528.4,10241.89319,121428818.78803292,1.79
2018/1/22,11528.4,11855.9,10030,10798.4,11319.63295,123956618.21513259,1.79
2018/1/23,10803.6,11356.5,9970,10813.9,13878.39325,147626204.15687598,1.78
2018/1/24,10813.9,11490.1,10483.8,11361.4,7987.098009,87945276.48926526,1.79
2018/1/25,11361.4,11720.3,10970,11204.2,9044.949121,102505298.34285401,1.8
2018/1/26,11204.2,11668.6,10333,11130,10931.16626,119509200.35378891,1.8
2018/1/27,11130,11626.5,10882,11462,7931.667267,89036371.27658605,1.8
2018/1/28,11462,13891,10600,11839.4,7218.680524,85412386.07276832,1.8
2018/1/29,11839.4,11944,11111,11265,6043.136546,68988368.18,1.8
2018/1/30,11265,11287.7,9900,10211.9,11139.67514,117611649.40856882,1.88
2018/1/31,10211.9,10402.8,9712,10289.9,10116.78279,102071663.24607086,1.9
2018/2/1,10289.8,10300,8863,9224.9,15862.1462,151107527.98913686,1.89
2018/2/2,9222.3,9247.3,8050,8881.7,22365.96423,194649355.39853487,1.88
2018/2/3,8881.7,9473.1,8260,9234.1,12128.46455,108614320.71355073,1.88
2018/2/4,9234.1,9367.1,7938.1,8188,11301.13814,97312170.01302272,1.88
2018/2/5,8188,8367.3,6680,6959.4,29016.8919,218799348.17052239,1.85
2018/2/6,6959.4,7858.8,6032.3,7677.6,46839.15165,319404261.15947637,1.87
2018/2/7,7677.6,8499.9,7182.3,7596.4,16909.15774,130281635.76912326,1.91
2018/2/8,7568.7,8700.8,7400,8271,4443.999138,36561835.41,1.91
2018/2/9,8287.2,8750,7760,8694.9,6551.511983,53755407.45789766,1.89
2018/2/10,8685.2,9036.7,8153.1,8532.4,7792.112265,66861733.22027805,1.89
2018/2/11,8532.4,8535,7820.2,8060,9850.386867,79983665.19,1.89
2018/2/12,8063,8976.8,8063,8901.9,10781.75477,93141558.08,1.93
2018/2/13,8901.9,8920,8360,8532.2,8843.747567,76057418.57350576,1.95
2018/2/14,8544.9,9509.9,8520,9457,9648.988856,86612000.05963652,1.98
2018/2/15,9464.4,10200,9321.6,10025.8,9768.328319,94958221.87,1.99
2018/2/16,10019.5,10274.9,9663.3,10172,9003.855366,89648665.43919974,2
2018/2/17,10172.1,11091.3,10045.7,11060,9162.563321,97545421.46006135,2
2018/2/18,11062.5,11249,10112,10383.4,9888.039661,104948279.00809403,2
2018/2/19,10400,11235.9,10302,11153.7,9083.266909,98330996.02222495,2
2018/2/20,11167.1,11774,11111,11206.7,9775.420674,112077060.26092132,2.01
2018/2/21,11198.7,11270,10235,10450,9960.683718,107933568.26551693,2.03
2018/2/22,10440,10919.2,9710.6,9825.2,8967.888006,92134694.64216413,2.02
2018/2/23,9825.4,10400,9560,10157.4,9508.14766,95039343.52187534,2.02
2018/2/24,10140.1,10495,9350,9684.7,9268.801961,92107700.97776391,2.02
2018/2/25,9684.7,9839.7,9285,9585.9,9090.727107,87188637.59177521,2.02
2018/2/26,9585.9,10475,9320.1,10301.6,9831.40255,96561689.17899781,2.03
2018/2/27,10301.6,10874.3,10130,10584.7,10121.44783,106781535.6211841,2.08
2018/2/28,10578.1,11070,10288,10325,9869.019318,105026530.72708921,2.07
2018/3/1,10325,11072,10233,10925.6,9725.161615,103300519.13078912,2.05
2018/3/2,10913.7,11188.1,10778.9,11019.3,9573.99009,105121255.21453777,2.06
2018/3/3,11019.3,11520,11018.7,11450,9750.515993,110709061.26659677,2.06
2018/3/4,11450,11550.3,11067.5,11515,9400.375755,105446566.59313836,2.06
2018/3/5,11515,11684.6,11400,11452,9035.116906,104081038.32791705,2.06
2018/3/6,11452,11452,10580,10721.2,9467.866933,104786584.04809614,2.06
2018/3/7,10717,10899.3,9411.6,9903.3,10778.38177,112006723.38539087,2.05
2018/3/8,9905,10099,9090,9301.7,10837.23012,105660328.0666827,2.05
2018/3/9,9286,9400,8350,9221.6,12575.62114,111122235.09802152,2.03
2018/3/10,9221.6,9487.9,8700,8771.3,10237.34515,94762993.86736576,2.03
2018/3/11,8771.7,9709.4,8446.3,9525,9960.580185,89400744.66524229,2.03
2018/3/12,9525,9890,8763.8,9125,8443.566953,80041697.45703322,2.05
2018/3/13,9122.5,9489,8850,9134.9,7553.601526,69066544.63344982,2.03
2018/3/14,9137.9,9344,7929.7,8188.2,7152.980609,62547307.86893612,2.05
2018/3/15,8177,8421.8,7670,8248.9,8829.899375,71260955.29113687,2.07
2018/3/16,8247.9,8600,7906.5,8255.3,7078.106347,58762334.87939782,2.08
2018/3/17,8255.5,8345.6,7732.2,7860,6531.59843,52699260.25381394,2.08
2018/3/18,7842.8,8288,7319,8170,8957.209196,68812703.40520119,2.08
2018/3/19,8167,8683,8070,8615.2,9557.506568,79743055.22939201,2.08
2018/3/20,8615.2,9024.6,8300.6,8893,7681.150603,66004633.58777972,2.08
2018/3/21,8895.9,9178.9,8760,8890.4,6905.927703,61989895.81,2.06
2018/3/22,8898.7,9100,8483.6,8713.9,7305.84686,64057903.21544622,2.05
2018/3/23,8713.9,8919.9,8300,8908,7043.936363,59856001.33821818,2.04
2018/3/24,8905,8998.9,8500.7,8535,4819.941991,42581075.88125858,2.04
2018/3/25,8535.1,8664,8364.9,8450.8,4152.146474,35338876.79880924,2.04
